m	n	d	result	time
1000000	1000	10000	true	2501
1000000	1000	10000	true	600
1000000	1000	10000	true	500
1000000	1000	10000	true	300
1000000	1000	10000	true	100
1000000	1000	10000	true	200
1000000	1000	10000	true	200
1000000	1000	10000	true	200
1000000	1000	10000	true	200
1000000	1000	10000	true	200
1000000	2000	19856	false	1100
1000000	2000	19856	false	400
1000000	2000	19856	false	300
1000000	2000	19856	false	300
1000000	2000	19856	false	200
1000000	2000	19856	false	100
1000000	2000	19856	false	200
1000000	2000	19856	false	200
1000000	2000	19856	false	100
1000000	2000	19856	false	201
1000000	3000	29702	false	1100
1000000	3000	29702	false	300
1000000	3000	29702	false	600
1000000	3000	29702	false	600
1000000	3000	29702	false	400
1000000	3000	29702	false	200
1000000	3000	29702	false	300
1000000	3000	29702	false	600
1000000	3000	29702	false	400
1000000	3000	29702	false	200
1000000	4000	39327	false	7100
1000000	4000	39327	false	400
1000000	4000	39327	false	200
1000000	4000	39327	false	100
1000000	4000	39327	false	200
1000000	4000	39327	false	100
1000000	4000	39327	false	100
1000000	4000	39327	false	200
1000000	4000	39327	false	100
1000000	4000	39327	false	100
1000000	5000	48880	false	1200
1000000	5000	48880	false	200
1000000	5000	48880	false	100
1000000	5000	48880	false	100
1000000	5000	48880	false	100
1000000	5000	48880	false	100
1000000	5000	48880	false	200
1000000	5000	48880	false	200
1000000	5000	48880	false	100
1000000	5000	48880	false	100
1000000	6000	58198	true	1300
1000000	6000	58198	true	300
1000000	6000	58198	true	199
1000000	6000	58198	true	100
1000000	6000	58198	true	200
1000000	6000	58198	true	100
1000000	6000	58198	true	100
1000000	6000	58198	true	100
1000000	6000	58198	true	100
1000000	6000	58198	true	100
1000000	7000	67452	false	1300
1000000	7000	67452	false	300
1000000	7000	67452	false	200
1000000	7000	67452	false	100
1000000	7000	67452	false	100
1000000	7000	67452	false	100
1000000	7000	67452	false	100
1000000	7000	67452	false	0
1000000	7000	67452	false	100
1000000	7000	67452	false	100
1000000	8000	76648	true	2201
1000000	8000	76648	true	300
1000000	8000	76648	true	200
1000000	8000	76648	true	200
1000000	8000	76648	true	100
1000000	8000	76648	true	100
1000000	8000	76648	true	100
1000000	8000	76648	true	100
1000000	8000	76648	true	100
1000000	8000	76648	true	100
1000000	9000	85877	false	1500
1000000	9000	85877	false	501
1000000	9000	85877	false	200
1000000	9000	85877	false	100
1000000	9000	85877	false	100
1000000	9000	85877	false	0
1000000	9000	85877	false	100
1000000	9000	85877	false	0
1000000	9000	85877	false	0
1000000	9000	85877	false	100
1000000	10000	95101	true	3099
1000000	10000	95101	true	400
1000000	10000	95101	true	200
1000000	10000	95101	true	200
1000000	10000	95101	true	200
1000000	10000	95101	true	200
1000000	10000	95101	true	100
1000000	10000	95101	true	200
1000000	10000	95101	true	200
1000000	10000	95101	true	200
1000000	11000	103863	true	3400
1000000	11000	103863	true	300
1000000	11000	103863	true	200
1000000	11000	103863	true	200
1000000	11000	103863	true	100
1000000	11000	103863	true	100
1000000	11000	103863	true	100
1000000	11000	103863	true	100
1000000	11000	103863	true	100
1000000	11000	103863	true	600
1000000	12000	112541	false	3499
1000000	12000	112541	false	300
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	12000	112541	false	100
1000000	13000	121302	true	1899
1000000	13000	121302	true	200
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	13000	121302	true	100
1000000	14000	129982	false	1301
1000000	14000	129982	false	200
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	100
1000000	14000	129982	false	0
1000000	15000	138684	true	3599
1000000	15000	138684	true	300
1000000	15000	138684	true	200
1000000	15000	138684	true	200
1000000	15000	138684	true	100
1000000	15000	138684	true	200
1000000	15000	138684	true	100
1000000	15000	138684	true	100
1000000	15000	138684	true	100
1000000	15000	138684	true	100
1000000	16000	147127	false	4700
1000000	16000	147127	false	200
1000000	16000	147127	false	100
1000000	16000	147127	false	100
1000000	16000	147127	false	0
1000000	16000	147127	false	100
1000000	16000	147127	false	100
1000000	16000	147127	false	5500
1000000	16000	147127	false	100
1000000	16000	147127	false	100
1000000	17000	155541	true	1799
1000000	17000	155541	true	200
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	100
1000000	17000	155541	true	0
1000000	18000	163779	true	1600
1000000	18000	163779	true	100
1000000	18000	163779	true	100
1000000	18000	163779	true	100
1000000	18000	163779	true	600
1000000	18000	163779	true	500
1000000	18000	163779	true	200
1000000	18000	163779	true	200
1000000	18000	163779	true	100
1000000	18000	163779	true	100
1000000	19000	171948	true	2599
1000000	19000	171948	true	300
1000000	19000	171948	true	200
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	19000	171948	true	100
1000000	20000	179909	false	2101
1000000	20000	179909	false	200
1000000	20000	179909	false	100
1000000	20000	179909	false	100
1000000	20000	179909	false	400
1000000	20000	179909	false	1999
1000000	20000	179909	false	400
1000000	20000	179909	false	100
1000000	20000	179909	false	100
1000000	20000	179909	false	100
1000000	21000	187670	true	1699
1000000	21000	187670	true	200
1000000	21000	187670	true	100
1000000	21000	187670	true	100
1000000	21000	187670	true	100
1000000	21000	187670	true	100
1000000	21000	187670	true	500
1000000	21000	187670	true	401
1000000	21000	187670	true	300
1000000	21000	187670	true	300
1000000	22000	195452	false	1599
1000000	22000	195452	false	200
1000000	22000	195452	false	0
1000000	22000	195452	false	100
1000000	22000	195452	false	0
1000000	22000	195452	false	100
1000000	22000	195452	false	100
1000000	22000	195452	false	0
1000000	22000	195452	false	100
1000000	22000	195452	false	100
1000000	23000	203287	false	2799
1000000	23000	203287	false	1501
1000000	23000	203287	false	400
1000000	23000	203287	false	200
1000000	23000	203287	false	100
1000000	23000	203287	false	100
1000000	23000	203287	false	100
1000000	23000	203287	false	100
1000000	23000	203287	false	100
1000000	23000	203287	false	0
1000000	24000	211046	false	1100
1000000	24000	211046	false	300
1000000	24000	211046	false	100
1000000	24000	211046	false	100
1000000	24000	211046	false	100
1000000	24000	211046	false	100
1000000	24000	211046	false	100
1000000	24000	211046	false	0
1000000	24000	211046	false	100
1000000	24000	211046	false	100
1000000	25000	218607	true	3100
1000000	25000	218607	true	300
